texto_diario,emocion_principal,label,predicted,confidence
i was in the firm i feel passionate about what i am doing because it challenges my mind and intellect to solve some design problems and be around architects and designers really helped to create a conducive environment,love,4,love,0.9038555026054382
i can feel innocent cuz i aint mean n bitchy,joy,0,joy,0.9929001331329346
i feel cranky already,anger,3,anger,0.9909817576408386
i am responsible for picking a man who on occasion reminds me of people from my past like my mom and i threaten myself i can break this pattern by conducting myself in a different way even when i feel scared because deep down i know he s a good man,fear,2,fear,0.9921488761901855
i can feel rejected just because someone needs to sleep,sadness,1,sadness,0.994163453578949
i recognize that the fear im feeling is not from the lord and does not come from a place that is trusting and hoping only in the lord,joy,0,joy,0.9892954230308533
i feel unprotected if i do though,fear,2,fear,0.7135812640190125
i got contact lenses the other day and am trying to get used to them i feel like my face looks really weird without glasses and its so strange when i see myself from a distance,surprise,5,fear,0.5769456028938293
i find when i look at things in this way i deal with the situation better and do not feel as agitated,fear,2,anger,0.8509592413902283
i feel like that enables her rotten ass even more but i am at a total,sadness,1,sadness,0.9914469718933105
i hope that i look back on this in the future and feel glad i documented all her small ways and feel if possible even more love for her than i do now,joy,0,joy,0.9807058572769165
im feeling frantic i try to remember to breathe and laugh,fear,2,fear,0.9862931966781616
im feeling romantic lately so i decided to go with this nail design,love,4,love,0.9791145324707031
i was feeling pretty discontent after that,sadness,1,sadness,0.9848060011863708
i anger people because when i feel agitated with something i get frantic and speak fast and snippy,fear,2,anger,0.7883541584014893
i think his uniform and glove make him feel very important too,joy,0,joy,0.994016170501709
i feel like hiding to prevent others from exposure to my decidedly unpleasant expression of anti christmas cheer or the bah humbugs as i like to call it,sadness,1,sadness,0.9847752451896667
i can feel it physically sort of aching and now im kind of expecting a response i dont know what it would say but ive got a good idea,sadness,1,sadness,0.9868131875991821
i wont go on about the anxieties i am feeling about this is being as neurotic as me about this,fear,2,fear,0.9882556200027466
i feel selfish but she would insist,anger,3,anger,0.9734686613082886
i say his helpless the phone muttered the i love you love his feeling always feel very sweet always feel to have him with me i nothing a person undertaking no matter where there is a he,love,4,love,0.9654470086097717
i had a dream in which i was infuriated with my husband and so i woke up feeling infuriated with him but unfortunately a i couldnt remember the substance of the dream so i couldnt adequately express myself and b it was just a stupid dream,anger,3,anger,0.9908717274665833
im feeling wildly supportive as i swallow my tension that every single other five year old i know of not only knows his letters but knows them backward,love,4,love,0.9660337567329407
i feel loved by family and smiled at by friends,love,4,love,0.9754924774169922
i was feeling anything but adventurous and stuck with comfort zone and ordered mcdonalds,joy,0,joy,0.992816686630249
i feel resentful and really work that resentment until i blow up,anger,3,anger,0.9906538128852844
i feel proud about her,joy,0,joy,0.9935898780822754
im not sure if what im feeling is so extremely vulnerable or now that i feel so depressed and sad,fear,2,sadness,0.8622893691062927
i hope not pagetitle khatsii feeling fearful,fear,2,fear,0.9922710657119751
i feel so relieved but at the same time i feel so lost,joy,0,joy,0.9884051084518433
im feeling a little smug this evening,joy,0,joy,0.993455708026886
i still post them because a i feel neglectful if i dont do anything on a site at least every once in awhile and b,sadness,1,sadness,0.9879940748214722
i feel rude bring my own fridge i do eat food but i guess my option,anger,3,anger,0.9897900223731995
i like earreading audiobooks so much because they make me feel productive by getting reading done while im doing other things like driving,joy,0,joy,0.9933606386184692
i am feeling incredibly thankful for my family,joy,0,joy,0.9857051372528076
i want to not feel angry because i haven t the right to feel that way,anger,3,anger,0.991370439529419
i feel so burdened as if something is holding me still and weighing me down,sadness,1,sadness,0.9927062392234802
i like to keep them on hand when i m feeling not so brave or extraordinary,joy,0,joy,0.9907439351081848
i feel glad and enthusiastic about the point of sand snorkeling,joy,0,joy,0.994749128818512
i really hope you guys can understand that some of the things i do is really because i feel either rejected or not right at the place,sadness,1,sadness,0.9929353594779968
i feel stressed always,sadness,1,sadness,0.817894697189331
i feel crappy actually,sadness,1,sadness,0.9939423203468323
i feel remorseful but i am not ready to die and i do not look in the mirror,sadness,1,sadness,0.99290931224823
i suggest you give it a listen i feel like i am blessed,love,4,joy,0.7306882739067078
i feel the need to emphasize these things at the moment because of how grumpy i have been this last week,anger,3,anger,0.9900317192077637
i wish i could help take the pain and anguish these families must be feeling innocent children killed while in school where they should be safe,joy,0,joy,0.9931390881538391
i feel accepted for who i am,love,4,joy,0.6519244313240051
i wish i did more of because every time i do i come away feeling invigorated and inspired,joy,0,joy,0.9913285374641418
im meant to feel longing,love,4,love,0.9564127326011658
i feel like we all have somehow convinced ourselves that these really pointless events somehow mean everything to us,joy,0,sadness,0.7516767978668213
i woke up the morning of our hike feeling jubilant,joy,0,joy,0.9940459728240967
i feel honored to have been on the show and my students were very excited for me giardina said,joy,0,joy,0.9920931458473206
i wish things didn t feel so strange so out of place,fear,2,surprise,0.6009729504585266
i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,anger,3,anger,0.9749236702919006
i feel so frightened i just wanted to document the way i m feeling,fear,2,fear,0.9920338988304138
i kali ni feeling aku dah bertukar jadi boring benci,sadness,1,sadness,0.9864006042480469
i would stay in charge thereby helping z to feel safe yet at the same time be nurturing and loving,joy,0,joy,0.9340579509735107
i feel lethargic unmotivated needy and frustrated,sadness,1,sadness,0.9932812452316284
im feeling brave this would be nice with black tips,joy,0,joy,0.9920676946640015
i feel i am more blessed than i can ever say,love,4,joy,0.6815601587295532
i only will uploading photos which i feel so sweet to share with all of you lovers,love,4,love,0.9683836698532104
i spend obsessing over my decisions and feeling anxious,fear,2,fear,0.9914173483848572
i feel alan clay who is rather pathetic has a huge mass on the back of his neck that he is convinced is cancer,sadness,1,sadness,0.9934304356575012
i will always help others in any way i can but if you don t feel it within you to do the work and to finally learn to love yourself then my help and motivation will be in vain,sadness,1,sadness,0.9600555300712585
i know the pain parents feel when an enraged child becomes violent,anger,3,anger,0.9894395470619202
i can feel the cold wind,anger,3,anger,0.965106725692749
i am feeling called to show up in a more faithful way,love,4,joy,0.6873530745506287
im feeling stressed about upcoming events drowning in feelings of being overwhelmed with how much i need to do in order to get my house back in order and the long week i have ahead of me that my husband will be out of town,anger,3,sadness,0.4853369891643524
i will stop feeling heartbroken when i see my unfollows,sadness,1,sadness,0.9917665123939514
i get the feeling that he is brewing up some kind of moronic shit storm,sadness,1,sadness,0.9715084433555603
i was feeling pretty wimpy in it,fear,2,fear,0.894631028175354
i want to know feelings i never felt before but will i ever experience your gentle touch again,love,4,love,0.9801812767982483
i think for myself i feel everyone is greedy but in their own little ways whether that is going for the good or bad way thats another issue because usually you link both together but right now im trying to separate both issue separately so we can see the sole topic more cleary,anger,3,anger,0.9893456101417542
i actually feel frightened of people here right now,fear,2,fear,0.9917541742324829
i will actually feel comfortable speaking to others in just japanese i feel pretty happy about my current progress,joy,0,joy,0.9941481351852417
i inspired but i came away feeling rejuvenated and invigorated,joy,0,joy,0.9929133057594299
i get to know about it the more guilty i feel for not being as faithful as these guys are,love,4,joy,0.6258907318115234
i nuh must feel joyful and victorious,joy,0,joy,0.9945304989814758
i feel quite photographically lethargic and drained its difficult to explain but im really happy my school semester is coming to an end,sadness,1,sadness,0.9932066202163696
i did get up to go and see the gp who told me i had probably been over confident that i should have rested for longer that this time i was to go to bed and not get up until hours after i feel better,joy,0,joy,0.9927040338516235
i am still feeling joyful at rest at peace and that nothing nothing nothing can stop me,joy,0,joy,0.9944370985031128
i am feeling very shaky today,fear,2,fear,0.9919607043266296
i assert it is better to feel rich than to be rich,joy,0,joy,0.9934044480323792
i probably should have written this closer to thanksgiving but i was busy and frankly not feeling particularly lucky,joy,0,joy,0.9887617230415344
i feel about femme fatale except its not cute anymore now that its pretty obvious that britneys not in control of her life that shes so burnt out and yet i get the impression shes almost forced into this career to the point that she just cant or wont deliver anymore,joy,0,joy,0.8231114149093628
i say walking away and shaking my head feeling a little dazed to get the drinks,surprise,5,surprise,0.9587793350219727
i can make him feel a christ isnt he the most delicious creature youve ever seen,joy,0,joy,0.9928317070007324
i feel our children are caught up in these unfortunate situations by no fault of their own and they so deserve to have a voice and someone to be there just for them and their best interests,sadness,1,sadness,0.9896873831748962
i feel regret for my beloved city,love,4,joy,0.9778085947036743
i have every right to feel outraged that their legacy may be in danger,anger,3,anger,0.9890374541282654
i feel and yet your still hesitant to tell me,fear,2,fear,0.9908391833305359
i was feeling a bit casual and put on a plain tank top with loose bottoms i got from zara,joy,0,joy,0.9924458861351013
being subject to unfair treatment in a working group,anger,3,anger,0.9169021248817444
i have a feeling that there will be plenty of football watching and that we will be indulging in many delicious eats this weekend,joy,0,joy,0.9917293190956116
im not feeling lucky,joy,0,joy,0.9912118315696716
i feel peaceful it s ok,joy,0,joy,0.9944538474082947
i only tried for three and i can still feel the longing that came with wanting a child,love,4,love,0.9685613512992859
i didnt feel like moving around things were going just fine by themselves,joy,0,joy,0.9920464754104614
i guess im a tough woman but i feel delicate,love,4,love,0.974334716796875
i feel useful in the pulpit which i find ironic because i often question the efficacy of preaching,joy,0,joy,0.9938435554504395
i feel that grits and even polenta are an unfortunate fate for corn,sadness,1,sadness,0.9922945499420166
i went home from the bar and crashed at waking up at this morning feeling mostly fantastic,joy,0,joy,0.9935219883918762
i was feeling discouraged and disgruntled and i was a href http tracifishbowl,sadness,1,sadness,0.9841790795326233
i think i feel myself flushing don t be alarmed i m on a headache medicine that causes that sometimes,fear,2,fear,0.9668064117431641
i had been feeling like a lost duck because experiences in my life have aged my soul faster than my physical age and i didnt have many who understood,sadness,1,sadness,0.9907662868499756
i feel suspicious if there is no one outside like the rapture has happened or something,fear,2,fear,0.9852021336555481
ive been struggling lately whenever i feel like saying something between having a reaction to myself of oh julia youre so clever and witty,joy,0,joy,0.9919609427452087
