texto_diario,emocion_principal,label
i am determined to lose weight the healthy way work harder in school be a better friend speak freely of how i feel be truthful with some people and get more sleep,joy,0
im feeling pretty rebellious right now because im writing this is my engineering class,anger,3
i must really be feeling brave because this thrifted outfit is a swimsuit,joy,0
i didn t want to feel foolish ridiculous embarrassed and self conscious,sadness,1
i cross the finish line i want to feel exhausted and alive at the exact same time,sadness,1
i said well we can but i m feeling greedy with your time,anger,3
i love the snow lol it just makes everything feel so tranquil,joy,0
im feeling more outgoing and happy since being off the medication,joy,0
i go to bed feeling triumphant,joy,0
when i heard about the way a parent of a friend had mistreated him,anger,3
i feel the tingle in my stomach and the pleasant fullness of satisfaction,joy,0
i would put them and their feelings before mine which is why i said it is mad,anger,3
ive found my interest in s u waning and ive even come away from some portrayals of their relationship feeling dissatisfied,anger,3
i began training in january or at least mentally preparing myself to train and can remember specifically feeling apprehensive about the running a spring marathon,fear,2
i dont have a solid reason for beginning self harm it was a number of things really but i just had these feelings of being worthless that no one would ever like me that i was ugly that i didnt fit in that i was horrible,sadness,1
i am so connected with families that are not my own and i love them so much and so i feel blessed to find a family to be connected with on so many different levels,joy,0
i feel like this shows the change that many countries have taken and that many countries are on the way to making this decision that includes supporting and increasing women in all areas of life,joy,0
i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy,0
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger,3
i mean my feelings are always sincere i just think part of me tends to repress certain things in order to somehow lessen the blow that will eventually hit when the relationship ends,joy,0
i didn t feel like there was something i missed and i take back all the things i said to make you feel like that and i just wish that i didn t feel like there was something i missed and i take back all the things that i said to you,sadness,1
i just feel so irritable which i guess is a classic symptom of depression,anger,3
i struggled with feelings of guilt as i took very gentle care of myself during my recovery and sometimes even now,love,4
i feel even more empty,sadness,1
i feel he does appear friendly but to continue looking at his face his eyes i feel they look sinister,joy,0
i know this is love and i feel it there i whisper something so sincere exactly what you want to hear,joy,0
i started feeling overly lethargic my whole body feels like lead,sadness,1
my roommates lack of consideration of me,anger,3
i want to get up in the mornings feeling excited about going to work instead of wanting to hit the snooze button,joy,0
i am supposed to go about being strong when i feel so inhibited,sadness,1
i started to feel butterflies in my stomach and my body starting to get hot,love,4
i can however tell you that it will hurt you will be humiliated and you will feel wonderful afterwards,joy,0
ill be happy to take his money when ever he is feeling generous enough to part with it,love,4
i wonder if mind readers draw a blank when they get around stupid people and when stupid people leave a room does it feel like somebody smart just walked in,joy,0
im feeling especially honored as my picks feature alongside some of my favorite designers like diane von furstenberg rodarte and jason wu,joy,0
im feeling really adventurous maybe white,joy,0
i still wake up every morning feeling so blessed to be here and unable to believe im lucky enough to be able to call this amazing family mine for life,joy,0
i can tell you exactly what is wrong at this very moment this very second i grieve for my son i miss my son i feel as though i am being punished and living in a hell at times,sadness,1
i feel weepy a lot,sadness,1
i feel this perverse pleasure in knowing how were so much the opposite of everything youre supposed to do,sadness,1
i wonder does anyone ever feel particularly inspired or moved watching question time these days,joy,0
i want to feel like i m reading something worthwhile,joy,0
i feel acclimated like i am finally a part of this organization rather than a timid observer,fear,2
i want to stop taking it one day but also feel terrified that lots of feelings of anxiety panic will come flooding back,fear,2
i don t know if i should be feeling this way because it would seem greedy and not nice to expect someone to splurge on the spur of the moment just because i asked,anger,3
i feel slightly disturbed by the whole thing,sadness,1
i feel lame i cant help but to shake the fear and i feel like im failing samuel by being afraid,sadness,1
i can feel the amused smile that tugs at my lips,joy,0
i feel pretty content i feel pretty content,joy,0
ive been more intensely feeling unloved,sadness,1
i mane is feeling generous and releases his new lp diary of a trap god for free,joy,0
i feel hateful of myself for being alone,anger,3
i finish my lesson although very happy that it is over i feel good i feel that it was worth it,joy,0
i am sure that if another group came along that made her feel less like pluto and more like the sun that she would shift her own focus to where her input was valued,joy,0
i can feel the hesitation the temptation to pull back and dull the activities of the season out of habit,sadness,1
is that you feel it more than hear it and the vibrations are so gentle that it doesnt bother me,love,4
i am sitting here today feeling just miserable,sadness,1
i guess she was feeling pretty hesitant,fear,2
i was feeling disheartened so i turned on the radio hoping music would lift my spirits,sadness,1
i think i feel the coldness more compare to other people who can withstand low temperature,sadness,1
i feel pretty content hour ago,joy,0
i was so traumatised by the pestilence that i was feeling quite delicate and couldnt cook so we had to buy expensive and unhealthy convenience foods from the supermarket in order to avoid starvation,love,4
i seem to be feeling a little less anxious this week but i sure wish that i could check on her every week at the doctor instead of the that are scheduled,fear,2
i have a feeling that will never happen and that feeling is reassured with every kiss its still something that is always in the back of my mind that i just cant seem to shake,joy,0
i feel like a dangerous animal as i prowl out of the jungle and onto the warm sand of this deserted island,anger,3
i wish i have the feeling back soon cause now i realise how lonely when i dont have the feeling its like soo unwanted even when i am not,sadness,1
im beginning to feel listless and a bit lonely,sadness,1
i feel as though this class will still be useful because in the end when owning a business you have to spread the word of what your business is about and trying to sell or get done,joy,0
i find consolation in the beauty of small things but sometimes its just not enough and i feel stupid for trying,sadness,1
im feeling cranky,anger,3
i feel totally ungrateful and extremely lucky,sadness,1
i am feeling a tad smug right now,joy,0
i remember the very first day of feeling lousy years ago and how i believed my body was betraying me,sadness,1
i feel that gulam ali is even more talented than many other classical singers,joy,0
i was feeling out of sorts anxious not sure what to do with myself,fear,2
i cant blame anything or anyone but myself and ive spent the day feeling miserable crying again whenever i remember realizing it was all my fault,sadness,1
im still not sure why reilly feels the need to be so weird,surprise,5
i feel like the awkward year old i was and some days i really feel like a grown up,sadness,1
i feel superior because i actually know who their president is,joy,0
i feel like there is a violent war going on in my stomach,anger,3
i remember feeling so lonely as a child in my room even though i had a lot of toys to keep me occupied,sadness,1
i was grateful for each and every one but it still made me feel funny,surprise,5
i was told it would make my arms go numb but i didnt feel anything numb about it as they pricked my arm with their so called baby iv,sadness,1
i didnt feel surprised i didnt feel upset i didnt feel angry i didnt feel anything,surprise,5
i think the energy in our jobs and in our writing should not always be spent on what we think will sell but rather on our pet projects we truly feel invigorated about,joy,0
i would add when i m feeling optimistic but a perfectly average person,joy,0
i have a sense of faith and it is only such that perhaps i am not as foolish as i feel and that someday i can have their sincere friendship unmitigated by distance that i can love them as much as i do and not have to worry that i am failing simply in that act alone,joy,0
when the paramilitary was sent to the unza and it started using tear gas and started intimidating the students without any provocation,anger,3
i feel terrible no one want to listen to me either,sadness,1
i dont know how to explain to you all the emotions that i felt at that moment but i can assure you of one thing i didnt have to convince myself to feel passionate about dominican republic,love,4
i would set out in a sunny temper and generally feeling benevolent to all road users then every morning at approximately,joy,0
i feel nostalgic for old books which i often reread,love,4
i think that a lot of times what women perceive as a problem with their husband is actually a symptom of the fact that and yes im about to bust out a generalization so feel free to tell me how your case is different men are problem solvers,joy,0
i can cry and feel bad without an explanation at all,sadness,1
i honestly feel rejected,sadness,1
i volunteer at bard and always feel respected,joy,0
i am happy with the news comeback i am feeling agitated with some fangirls,anger,3
i do feel the need for a little break however like you and for something lovely and quiet,love,4
i execute the trick and work my dishwasher magic i feel so clever,joy,0
i just feel overwhelmed thinking about it,surprise,5
i get the feeling were being tortured,anger,3
i packed this time around feeling apprehensive about this challenging season and happy to decompress for a few days at my dads before coming home,fear,2
i care very little about impressing people unless its a person who i feel deserves being impressed,surprise,5
i arabia indigenous believers in christ often feel isolated and alone,sadness,1
i was okay but thats an awful feeling to be falling with no way to stop it maybe thats why to this day im so afraid of falling,fear,2
i feel guilty that he had to drop everything just to take care of me,sadness,1
i feel like i need to cry these past few days and it relieved me that i could cry that much of tears today haha,joy,0
i mean not one i feel that it is my duty to help all of our loyal readers of hb understand the world that is going on around them,love,4
a boyfriend with whom i split up with came over to a friends house where i was visiting with a male friend in a confrontation in another room he tried to find out if i was aroused by my friend by feeling my parts,anger,3
hearing about developments of sience in the west a lot better than china,sadness,1
i feel too smugly virtuous about re using old textiles to feel bad about a few extra seams in a thing,joy,0
im particularly feeling pressured to act and behave in ways that are culturally accepted and expected of me,fear,2
i want to shout say something dont just smile all the time touch me so i can feel that delicious feeling inside,joy,0
i read the ny times i feel very inadequate,sadness,1
i predict that i have and what it takes to deal with a situation i feel safe,joy,0
i asked that no one gift me but if i go to my sister s house when everyone gathers for the holiday i will feel impolite to show up empty handed,anger,3
i feel like number is the most important going forward because i felt the change in my confidence and mojo as soon as i hit the s,joy,0
i feel passionate about,love,4
i feel a little overwhelmed,fear,2
i was beginning to feel fear nevertheless a stubborn person i am i swept the superstition away but i reminded myself to pay extra caution,anger,3
i made sure to go all out for him since i was feeling him and i liked how we complimented each other,love,4
i died would alex and matt feel regretful for not coming to visit,sadness,1
i feel just as gloomy about it at the age of as i did when i was,sadness,1
i then had my watch from am this morning but was feeling just fine so did an additional hour so my dad could rest a little longer,joy,0
i feel distraught worried panicked sick scared sad,fear,2
i hope you are all feeling glamorous today,joy,0
i feel a little sad about it but christmas is hardly on,sadness,1
i feel agitated,anger,3
i feel like life is too good to be true,joy,0
i still feel sleep deprived she is almost sleeping through the night giving us,sadness,1
i am feeling really weepy today i am sure i will feel better tomorrow xxx,sadness,1
i feel like these words from today s passage send the church of today a warning just as much as jesus was sending his beloved disciples a warning,joy,0
i crossed the line targeting the developer more than the game and hurting feelings that didn t need to be hurt,sadness,1
i was still feeling crappy but hoped it was just due to the flight and stuff so we cleaned ourselves up and i put on my sassy city girl outfit which was my perfect city dress with city walking shoes,sadness,1
i feel as a child innocent feelings illustrating a,joy,0
im feeling less generous i call her psychotic,love,4
i see anything that would cause me to feel fearful or distrustful of him,fear,2
i have for myself even when i m feeling crappy,sadness,1
i changed i feel that im taking advantage of her this wouldnt have bothered me one bit before,anger,3
i have a feeling david is going to turn out to be a terrific father hes already exposing his newborn son to the world of the geek,joy,0
i suppose it s partly my fault for forgetting my earplugs but it s still really frustrating to feel like you re being permanently damaged for no apparent reason,sadness,1
my girlfriend who had spent months abroad broke off our relationship by letter,sadness,1
i entered a depression feeling helpless hopeless and adrift betrayed disillusioned and wondering who i could trust,sadness,1
i inadvertently helped with a joke that hurt a classmates feelings and embarrassed her beyond all reason,sadness,1
i feel will be warmly welcomed on any floor,joy,0
i realised something was wrong when i started to feel everyone hated me and was saying things about me and only wanted to talk to me because they pitied me,anger,3
i didnt want to be lazy or feel groggy so i just kept drinking red bull,sadness,1
im sitting on the couch thinking about how miserable i feel from indulging in too much delicious food,joy,0
i understand that students must pass the mcas and fulfill other tasks but as idealized in freedom writers students will respond better learn and understand faster if they feel respected and valued and if they are excited about their education,joy,0
i looked down and feasted on the view of my own legs and knees and memorized the feel of the cars gentle rocking,love,4
i have a heart to serve to better their situation but in that moment i feel so helpless,fear,2
i don t feel like creating another religion that will cause trouble to the troubled souls of many,sadness,1
ive worked plenty of them and have yet to find one that leaves me feeling satisfied with the way ive spent another day that i will never get back,joy,0
i come home from work too often feeling irritable and it s not fair or loving to dump all that ugliness onto my husband,anger,3
i feel like thats a pretty petty thing to complain about,anger,3
i read premonition i had this rare feeling that i was caught by how dewi lestari plays with metaphors crazily in her charming words,joy,0
i cant help but also feel incredibly lucky over how it all went down and the community around us,joy,0
im so stoned on endorphin that all i can feel is my leg muscles seizing into petrified meat,fear,2
i had a dream in which i was infuriated with my husband and so i woke up feeling infuriated with him but unfortunately a i couldnt remember the substance of the dream so i couldnt adequately express myself and b it was just a stupid dream,anger,3
i feel perfect except for the constant exhaustion,joy,0
i feel lame even saying it,sadness,1
i was joking around and feeling good and the next hour i would feel horrible,joy,0
i was feeling the shake shack love this day i guess because i look like a hamburger with dirty clothes and hair because my luggage hadnt come yet,sadness,1
i read in one horrific sitting made me feel ashamed of the world we live in,sadness,1
i find myself feeling happy more and more and it feels so very good,joy,0
i have gradually morphed into someone who feels superior when other peoples kids complain about dinner or dont want to eat their zucchini or are allowed to eat pop tarts or sugary cereal or white bread for breakfast,joy,0
i feel i am completely dissatisfied with the whole world and all human characters are inconsistent,anger,3
i feel like a blank canvas i have no clue what i am doing right now,sadness,1
i think it affects me so much because it results back to one of my biggest flaws which is not feeling enough pretty enough smart enough you name it,joy,0
i want to hold this feeling of shocked awe and wonder forever,surprise,5
i may feel uncomfortable or just want to give up,fear,2
i want you to feel my awe and astonishment at this amazing thing that is happening,joy,0
i wasnt going to make this about what i cant eat and feel like i was suffering or giving anything up i was going to make this about what i was going to gain and what i could eat,sadness,1
im feeling generous its easy when youre giving away other peeps stuff if after you vote you visit the a href http www,love,4
i feel like people seem to be intimidated by me or this blog,fear,2
i bought a pretty dress and a pair of pretty sandals and am looking forward to feeling pretty,joy,0
i loved how all his pack mates bonded with her the touchy feely way they were with each other was sweet,joy,0
im still feeling indecisive im polling yall p,fear,2
i now feel almost resigned to the loss of the hopes and dreams i once had,sadness,1
i feel like an idiotic herd mentality mindless follower when i m walking down the street with a large group of people,sadness,1
i just mentioned i m feeling kind of stress free right now,joy,0
i really hope she shares the same feelings they would be so wonderful together,joy,0
i feel when the super exciting sensory bombardment is over,joy,0
i feel books are a vital aspect to our lives and will be for generations to come and this type of media will never diminish because of the enjoyment it beings to humans,joy,0
i feel suffocated yet charmed my brain pauses logic,joy,0
i feel violent wanna kill someone anyone or kiss them,anger,3
i wasnt so self conscious of my atrocious singing i think id be tempted to break out into this whenever a colleague is feeling defeated,sadness,1
i always feel like ive been assaulted by his pics,sadness,1
im super pumped to have crossed the nano finish line my novel is far from finished but im feeling optimistic,joy,0
i feel ungrateful and petty if i try and talk to people about it,sadness,1
im one of girl who feel insecure about herself always,fear,2
i feel indecisive about baker although my room is the smallest double it still seems big but i hate how loud the guys across the hall are,fear,2
i feel so strongly and passionate about so hearing that just made my heart sink,joy,0
i might also write a bit about science if im feeling particularly energetic,joy,0
i hate asking myself why i feel so reluctant when he tries to kiss me,fear,2
i understand feeling alone and lonely like you may never be really known,sadness,1
i feel getting or gifting a life time subscription is vital,joy,0
i feel disheartened or defeated,sadness,1
i feel uncertain about,fear,2
i was feeling kind of hesitant about food which sucked because we were going out to dinner that night followed by drinking,fear,2
i know just how you feel any ache pain in tummy i get frightened incase it em again,fear,2
i feel like i am nothing but pathetic,sadness,1
i feel so fucked up now i want to shut myself up,anger,3
i know im not in the best place of my life still dealing with the infertility issue but i feel i have a lot to be thankful for,joy,0
i feel like they are dirty all,sadness,1
i feel divine whenever i captured a moment smiled silently saving all the details to my treasure chest that i fill only with memories that i knew will only happened once in my lifespan,joy,0
i feel like if i was here long enough i would have my emotions back b c i could either be so stressed out by the people that i cant hide my emotions or that i would have my support back and feeling would be safe again esp without uw school work,anger,3
i feel decently intelligent,joy,0
i feel amazing doctor,surprise,5
i want to know exactly the meaning behind these effin feelings and submissive thinkings,sadness,1
i feel despised and i dont deserve that,anger,3
i feel like i did the last time i had to break up with a lousy boyfriend in so im out of practice like junk,sadness,1
i try that i just feel that im being judged by eyes that only see me as a weird and vain bastard who thinks so much of himself,fear,2
i read after watching the film argued that it makes sense for its author to feel so offended by the changes from the truth that were made in the film as it is being used in an attempt to effect real life verdicts,anger,3
i didnt want to stay in this feeling of loneliness the emptiness of my prayers blank requests to a paper deity,sadness,1
im feeling sad so i can remind myself of how i am talented and good at things and also see things that inspire me all in once place,sadness,1
i would not expect you to understand and if you have i feel horrible for you,sadness,1
i always feel reassured after my appts,joy,0
i lay myself raw and bare and let the enemies attack me for feeling so emotional over something they feel is silly because i want to be honest with myself and others,sadness,1
i feel that grits and even polenta are an unfortunate fate for corn,sadness,1
i started feeling like myself again but it was a pretty rotten time in between,sadness,1
i am surprised no one is feeling repressed misrepresented or offended by it,sadness,1
i have been feeling pretty fabulous for me that means my pain is about a out of for the past three days,joy,0
i know my good friends are biking through tulip fields i feel a little regretful,sadness,1
i feel romantic feelings in my soul and begging to god make u me ur love me ur feeling me ur soul me i wanna to hear the beat of heart by u for me ever if u wanna so otherwise i am nothing without u,love,4
i didnt feel insulted though,anger,3
i feel like i need a artistic community or a friend or a class,joy,0
i feel lethargic slogging through work outs and finishing each evening with popcorn and a glass of pinot gris,sadness,1
im feeling cool today,joy,0
i feel her sweet sound nice melody of the song,joy,0
i instantly feel anxious that a police officer is going to pull me over,fear,2
i like to pray a decade whenever im feeling stressed or scared,anger,3
i do feel that you are a little needy because of the tone in your note to me,sadness,1
i can t feel saddened or that i should just stop caring,love,4
i find myself feeling happy more and more and it feels so very good,joy,0
i need to take my own advice and the advice of many many writers who i admire get the butt in the chair every day even if youre feeling distracted or stressed or whatever,anger,3
i find when i look at things in this way i deal with the situation better and do not feel as agitated,fear,2
i even feel strange if i forget a primer and put foundation on my bare skin,fear,2
i feel like if you get something really cool you could easily turn it into a finished piece but that s kind of up to what you get out of the two hours,joy,0
i feel dirty srcurl http draftbloger,sadness,1
im totally feeling bitchy and resentful about it,anger,3
i feel like flagellating myself like the weird albino priest in angels and demons every time i see his face,fear,2
i feel hated by,anger,3
