texto,real,pred_base,pred_finetuned,pred_frozen
i was in the firm i feel passionate about what i am doing because it challenges my mind and intellect to solve some design problems and be around architects and designers really helped to create a conducive environment,love,fear,love,joy
i can feel innocent cuz i aint mean n bitchy,joy,fear,joy,sadness
i feel cranky already,anger,fear,anger,sadness
i am responsible for picking a man who on occasion reminds me of people from my past like my mom and i threaten myself i can break this pattern by conducting myself in a different way even when i feel scared because deep down i know he s a good man,fear,fear,fear,sadness
i can feel rejected just because someone needs to sleep,sadness,fear,sadness,sadness
i recognize that the fear im feeling is not from the lord and does not come from a place that is trusting and hoping only in the lord,joy,fear,joy,joy
i feel unprotected if i do though,fear,fear,fear,joy
i got contact lenses the other day and am trying to get used to them i feel like my face looks really weird without glasses and its so strange when i see myself from a distance,surprise,fear,fear,sadness
i find when i look at things in this way i deal with the situation better and do not feel as agitated,fear,fear,anger,sadness
i feel like that enables her rotten ass even more but i am at a total,sadness,fear,sadness,sadness
i hope that i look back on this in the future and feel glad i documented all her small ways and feel if possible even more love for her than i do now,joy,fear,joy,joy
im feeling frantic i try to remember to breathe and laugh,fear,fear,fear,sadness
im feeling romantic lately so i decided to go with this nail design,love,fear,love,joy
i was feeling pretty discontent after that,sadness,fear,sadness,sadness
i anger people because when i feel agitated with something i get frantic and speak fast and snippy,fear,fear,anger,sadness
i think his uniform and glove make him feel very important too,joy,fear,joy,joy
i feel like hiding to prevent others from exposure to my decidedly unpleasant expression of anti christmas cheer or the bah humbugs as i like to call it,sadness,fear,sadness,sadness
i can feel it physically sort of aching and now im kind of expecting a response i dont know what it would say but ive got a good idea,sadness,fear,sadness,sadness
i wont go on about the anxieties i am feeling about this is being as neurotic as me about this,fear,fear,fear,joy
i feel selfish but she would insist,anger,fear,anger,sadness
i say his helpless the phone muttered the i love you love his feeling always feel very sweet always feel to have him with me i nothing a person undertaking no matter where there is a he,love,fear,love,joy
i had a dream in which i was infuriated with my husband and so i woke up feeling infuriated with him but unfortunately a i couldnt remember the substance of the dream so i couldnt adequately express myself and b it was just a stupid dream,anger,fear,anger,sadness
im feeling wildly supportive as i swallow my tension that every single other five year old i know of not only knows his letters but knows them backward,love,fear,love,joy
i feel loved by family and smiled at by friends,love,fear,love,joy
i was feeling anything but adventurous and stuck with comfort zone and ordered mcdonalds,joy,fear,joy,joy
